point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps,triangle_count,visible_renderer_count,screen_coverage,draw_call_count
1,-15,45,0,1,6.535094,27.78912,35.98531,1415960,13651,0.000327,10371
1,-15,45,0,2,5.770719,27.76005,36.02299,829835,13678,0.000428,9719
1,-15,45,0,3,4.206034,25.72784,38.8684,385608,13678,0.000407,3780
1,-15,90,0,0,6.200466,24.68394,40.51218,1933918,8594,0.000186,7096
1,-15,90,0,1,5.466917,26.16315,38.22171,892566,8604,0.000195,6426
1,-15,90,0,2,5.21539,25.80773,38.74808,534592,8632,0.000232,5725
1,-15,90,0,3,3.903488,23.81897,41.98335,268083,8632,0.000236,2235
1,-15,135,0,0,3.46112,17.15463,58.2933,140213,362,0.001675,712
1,-15,135,0,1,3.314615,19.92644,50.18459,88573,362,0.001890,602
1,-15,135,0,2,3.362743,19.81974,50.45474,81455,366,0.002360,586
1,-15,135,0,3,3.216896,19.66742,50.84551,75265,366,0.002367,504
1,-15,180,0,0,3.387392,16.67659,59.96428,59583,110,0.002843,351
1,-15,180,0,1,3.583927,19.55112,51.14796,46367,110,0.002999,321
1,-15,180,0,2,3.685742,19.34664,51.68857,44029,110,0.003688,289
1,-15,180,0,3,3.689399,19.3794,51.60119,44315,110,0.003688,285
1,-15,225,0,0,3.430692,16.73227,59.76476,42488,13,0.003868,230
1,-15,225,0,1,3.451539,19.56586,51.10944,39871,13,0.004816,223
1,-15,225,0,2,3.45856,19.22144,52.02523,38869,14,0.007210,222
1,-15,225,0,3,3.408237,19.26658,51.90335,39471,14,0.007210,217
1,-15,270,0,0,3.594752,16.73743,59.74633,53009,4,0.006101,220
1,-15,270,0,1,3.786825,19.65718,50.87199,51207,4,0.007710,216
1,-15,270,0,2,3.864357,19.30855,51.79053,51730,4,0.010505,214
1,-15,270,0,3,3.946349,19.39517,51.55923,51771,4,0.010505,212
1,-15,315,0,0,4.367433,17.25053,57.96924,340876,453,0.001617,949
1,-15,315,0,1,4.244845,19.97028,50.07442,223095,458,0.001838,911
1,-15,315,0,2,4.13974,19.89611,50.26109,142761,473,0.002464,795
1,-15,315,0,3,3.728969,19.72353,50.70087,80293,472,0.002555,559
1,0,0,0,0,6.154972,21.79763,45.87655,1823447,6381,0.000322,6751
1,0,0,0,1,5.68634,23.29415,42.92924,938887,6387,0.000332,6080
1,0,0,0,2,5.276453,22.86955,43.72626,568994,6396,0.000413,5766
1,0,0,0,3,4.111546,22.24357,44.9568,272893,6395,0.000406,2928
1,0,45,0,0,7.386093,27.89046,35.85456,3049831,14105,0.000373,11803
1,0,45,0,1,6.612788,28.06236,35.63492,1439767,14106,0.000388,10807
1,0,45,0,2,5.918427,27.92966,35.80423,877384,14112,0.000460,10224
1,0,45,0,3,4.266221,24.11455,41.46875,413800,14112,0.000442,4030
1,0,90,0,0,6.129349,24.42954,40.93404,2030267,9107,0.000165,7551
1,0,90,0,1,5.580937,25.26517,39.58018,938511,9111,0.000170,6740
1,0,90,0,2,5.249975,24.53185,40.76334,573697,9130,0.000207,6225
1,0,90,0,3,4.040232,23.79412,42.02718,282346,9129,0.000192,2406
