point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps,triangle_count,visible_renderer_count,screen_coverage,draw_call_count
0,15,0,0,2,4.795256,7.765513,128.7745,651109,0,1.000000,5240
0,15,0,0,3,4.517068,6.948526,143.9154,328297,0,1.000000,3250
0,15,45,0,0,7.219712,10.09419,99.06689,3063975,0,1.000000,10919
0,15,45,0,1,6.552679,13.04601,76.65179,1515354,0,1.000000,10054
0,15,45,0,2,5.972582,12.19753,81.9838,898095,0,1.000000,9298
0,15,45,0,3,4.313293,7.499873,133.3356,436290,0,1.000000,4157
0,15,90,0,0,5.727418,8.011336,124.8231,2087614,0,1.000000,7407
0,15,90,0,1,5.402419,11.87441,84.21471,989453,0,1.000000,6710
0,15,90,0,2,4.926122,11.38318,87.84888,596552,0,1.000000,6118
0,15,90,0,3,4.433033,8.147533,122.7365,308276,0,1.000000,2454
0,15,135,0,0,3.192613,2.195986,313.2231,228133,0,0.618531,1000
0,15,135,0,1,3.098419,5.875734,170.1915,132293,0,0.618531,825
0,15,135,0,2,3.077666,5.857626,170.7176,111369,0,0.618531,806
0,15,135,0,3,2.943386,5.404887,185.0177,93574,0,0.618531,628
0,15,180,0,0,2.723294,1.647287,367.2024,88174,0,0.405862,419
0,15,180,0,1,3.065993,5.567346,179.6188,66467,0,0.405862,352
0,15,180,0,2,2.729575,5.225701,191.3619,64918,0,0.405862,321
0,15,180,0,3,2.653915,1.532236,376.8018,64061,0,0.405862,315
0,15,225,0,0,3.871744,2.23762,258.2815,80432,0,0.164566,349
0,15,225,0,1,2.652297,5.213448,191.8117,64111,0,0.164566,278
0,15,225,0,2,3.030835,5.357713,186.6468,63677,0,0.164566,271
0,15,225,0,3,3.011925,5.849774,170.9468,62739,0,0.164566,264
0,15,270,0,0,3.675341,2.13692,272.0836,299846,0,0.097528,557
0,15,270,0,1,4.043366,6.143406,162.7761,200763,0,0.097528,470
0,15,270,0,2,3.367458,6.007166,166.4678,140605,0,0.097528,472
0,15,270,0,3,3.962811,6.261607,159.7034,85606,0,0.097528,431
0,15,315,0,0,4.763033,2.73004,209.9502,895230,0,1.000000,2630
0,15,315,0,1,4.449689,6.419127,155.7844,521138,0,1.000000,2308
0,15,315,0,2,4.019114,6.636687,150.6776,332659,0,1.000000,2172
0,15,315,0,3,3.854541,6.432712,155.4554,175708,0,1.000000,1717
1,-15,0,0,0,4.906789,5.362786,186.4702,1456741,0,1.000000,5795
1,-15,0,0,1,4.520141,9.22136,108.4439,758997,0,1.000000,5318
1,-15,0,0,2,4.320324,8.901433,112.3415,468041,0,1.000000,5097
1,-15,0,0,3,3.377357,6.626306,150.9137,233900,0,1.000000,2571
1,-15,45,0,0,6.804402,10.19728,98.06532,3006089,0,1.000000,11562
1,-15,45,0,1,6.107069,11.54953,86.58363,1425142,0,1.000000,10620
1,-15,45,0,2,5.750546,11.72648,85.27709,848519,0,1.000000,9842
1,-15,45,0,3,3.979725,7.559926,132.2764,392155,0,1.000000,3860
1,-15,90,0,0,5.449608,7.486527,133.5733,1932692,0,1.000000,7004
1,-15,90,0,1,4.778991,9.12218,109.6229,905919,0,1.000000,6468
1,-15,90,0,2,4.557605,5.2147,191.7656,538435,0,1.000000,5764
1,-15,90,0,3,3.375514,7.117834,140.4922,271142,0,1.000000,2244
1,-15,135,0,0,2.593587,2.200513,385.5664,139690,0,0.585764,712
1,-15,135,0,1,2.535151,5.604646,178.4234,88481,0,0.585764,602
1,-15,135,0,2,2.556655,5.538233,180.563,80801,0,0.585764,588
1,-15,135,0,3,2.457464,5.45472,183.3275,75040,0,0.585764,504
1,-15,180,0,0,2.583894,1.938853,387.0128,59842,0,0.448059,351
1,-15,180,0,1,2.645948,5.48584,182.2875,45803,0,0.448059,321
1,-15,180,0,2,2.721997,5.325833,187.764,44649,0,0.448059,290
1,-15,180,0,3,2.68643,5.457861,183.222,43187,0,0.448059,285
1,-15,225,0,0,2.757222,1.80564,362.6838,42164,0,0.064608,231
1,-15,225,0,1,2.860374,5.265007,189.9333,39788,0,0.064608,223
1,-15,225,0,2,2.894711,5.3807,185.8494,39381,0,0.064608,223
1,-15,225,0,3,2.925432,5.15806,193.8713,39191,0,0.064608,218
1,-15,270,0,0,3.107635,1.883726,321.7881,52488,0,0.022286,220
1,-15,270,0,1,3.169007,5.232794,191.1025,51304,0,0.022286,215
1,-15,270,0,2,3.221777,5.377487,185.9605,51245,0,0.022286,213
1,-15,270,0,3,3.289634,5.263933,189.972,51230,0,0.022286,212
1,-15,315,0,0,4.186726,2.257927,238.8501,344702,0,0.718817,980
1,-15,315,0,1,3.942468,5.750813,173.8884,221115,0,0.718817,922
1,-15,315,0,2,3.004348,5.6766,176.1618,142293,0,0.718817,789
1,-15,315,0,3,2.518835,5.509355,181.5095,80238,0,0.718817,557
1,0,0,0,0,5.50671,5.773034,173.2191,1844932,0,1.000000,6764
1,0,0,0,1,5.225267,8.713699,114.7618,953538,0,1.000000,6044
1,0,0,0,2,4.950289,8.430874,118.6117,576773,0,1.000000,5873
1,0,0,0,3,3.774942,6.779134,147.5115,275251,0,1.000000,2929
1,0,45,0,0,7.598899,10.5904,94.42514,3109343,0,1.000000,12136
1,0,45,0,1,6.677333,12.70248,78.72476,1477319,0,1.000000,11089
1,0,45,0,2,6.244353,11.26551,88.76647,885887,0,1.000000,10311
1,0,45,0,3,4.20074,8.13535,122.9203,421747,0,1.000000,4138
1,0,90,0,0,5.457526,7.9203,126.2578,2043105,0,1.000000,7552
1,0,90,0,1,5.068727,5.551157,180.1426,948292,0,1.000000,6765
1,0,90,0,2,4.916078,5.222942,191.463,582031,0,1.000000,6321
1,0,90,0,3,3.677184,7.132161,140.21,287391,0,1.000000,2436
1,0,135,0,0,2.990899,2.354387,334.3476,171051,0,0.730623,875
1,0,135,0,1,2.881058,5.514273,181.3476,104852,0,0.730623,751
1,0,135,0,2,2.844194,5.687739,175.8168,93117,0,0.730623,722
1,0,135,0,3,2.703087,5.387547,185.6132,84600,0,0.730623,539
1,0,180,0,0,2.874778,1.979593,347.853,80484,0,0.436799,402
1,0,180,0,1,2.913485,5.297473,188.7692,62545,0,0.436799,354
1,0,180,0,2,2.977587,5.387187,185.6256,60357,0,0.436799,323
1,0,180,0,3,2.941543,5.225141,191.3824,59717,0,0.436799,316
1,0,225,0,0,3.022712,1.869793,330.8288,64714,0,0.186574,295
1,0,225,0,1,3.109137,5.386327,185.6553,56463,0,0.186574,264
1,0,225,0,2,3.103129,5.193047,192.5652,56335,0,0.186574,254
1,0,225,0,3,3.169075,5.225673,191.3629,55992,0,0.186574,249
1,0,270,0,0,3.249425,2.100953,307.7468,67717,0,0.101867,256
1,0,270,0,1,3.348002,5.517226,181.2505,69016,0,0.101867,238
1,0,270,0,2,3.448491,5.2071,192.0455,64957,0,0.101867,239
1,0,270,0,3,3.243076,5.445427,183.6403,62254,0,0.101867,235
1,0,315,0,0,4.302029,2.47374,232.4485,535140,0,1.000000,1524
1,0,315,0,1,3.909496,5.828466,171.5717,319711,0,1.000000,1329
1,0,315,0,2,3.730091,6.279953,159.2369,205751,0,1.000000,1236
1,0,315,0,3,3.405483,5.697634,175.5115,112417,0,1.000000,885
1,15,0,0,0,5.699742,6.020577,166.097,2175643,0,1.000000,7365
1,15,0,0,1,5.416687,8.755227,114.2175,1114941,0,1.000000,6624
1,15,0,0,2,5.054464,5.250043,190.4746,686405,0,1.000000,6447
1,15,0,0,3,4.422583,7.930386,126.0973,340349,0,1.000000,3441
1,15,45,0,0,7.729216,11.09716,90.11317,3216134,0,1.000000,12242
1,15,45,0,1,6.832758,12.73051,78.55146,1540823,0,1.000000,11159
1,15,45,0,2,6.507025,11.94009,83.75147,924736,0,1.000000,10596
1,15,45,0,3,4.39453,8.02996,124.5336,441705,0,1.000000,4317
1,15,90,0,0,5.753417,8.315271,120.2607,2094003,0,1.000000,7534
1,15,90,0,1,5.187511,5.647164,177.08,971957,0,1.000000,6827
1,15,90,0,2,5.063296,5.445686,183.6316,594496,0,1.000000,6283
1,15,90,0,3,3.838703,7.220221,138.4999,303016,0,1.000000,2479
1,15,135,0,0,3.164843,2.396053,315.9715,226329,0,0.817651,1030
1,15,135,0,1,3.026057,5.716574,174.9299,129798,0,0.817651,861
1,15,135,0,2,3.052953,6.15406,162.4943,108768,0,0.817651,838
1,15,135,0,3,2.906112,5.480067,182.4795,91841,0,0.817651,627
1,15,180,0,0,2.867747,2.111087,348.7058,89539,0,0.422692,420
1,15,180,0,1,2.881536,5.346987,187.0212,67878,0,0.422692,357
1,15,180,0,2,2.952329,5.409793,184.8499,65929,0,0.422692,325
1,15,180,0,3,2.919287,5.34322,187.1531,64968,0,0.422692,319
1,15,225,0,0,3.002095,1.9306,333.1007,76067,0,0.213311,328
1,15,225,0,1,3.060941,5.28992,189.0388,63775,0,0.213311,278
1,15,225,0,2,3.081216,5.399427,185.2048,62800,0,0.213311,268
1,15,225,0,3,3.117602,5.400766,185.1589,61786,0,0.213311,261
1,15,270,0,0,3.453679,1.8904,289.5463,242518,0,0.098078,405
1,15,270,0,1,3.479279,5.27292,189.6482,171744,0,0.098078,350
1,15,270,0,2,3.563384,5.329633,187.6302,123145,0,0.098078,349
1,15,270,0,3,3.525563,5.301013,188.6432,79187,0,0.098078,327
1,15,315,0,0,4.872124,2.64282,205.2493,816078,0,1.000000,2548
1,15,315,0,1,4.120781,6.162966,162.2595,465163,0,1.000000,2127
1,15,315,0,2,4.030942,5.866114,170.4706,302097,0,1.000000,2081
1,15,315,0,3,3.471974,5.682726,175.9719,163183,0,1.000000,1543
2,-15,0,0,0,5.367126,3.882987,186.3195,1110562,0,1.000000,3326
2,-15,0,0,1,4.969676,6.895141,145.0297,627625,0,1.000000,2963
2,-15,0,0,2,4.720094,6.935807,144.1793,401337,0,1.000000,2766
2,-15,0,0,3,3.64032,6.440393,155.27,216818,0,1.000000,2000
2,-15,45,0,0,7.341641,7.462378,134.0055,2577264,0,1.000000,8644
2,-15,45,0,1,6.812758,9.372947,106.69,1279202,0,1.000000,7765
2,-15,45,0,2,6.244079,9.176607,108.9727,778060,0,1.000000,7410
2,-15,45,0,3,4.347426,7.236987,138.1791,388253,0,1.000000,3456
2,-15,90,0,0,6.445381,7.48034,133.6838,2083876,0,1.000000,7133
2,-15,90,0,1,5.874825,9.08444,110.0783,1018159,0,1.000000,6448
2,-15,90,0,2,5.457237,9.013999,110.9386,633479,0,1.000000,6126
2,-15,90,0,3,3.993942,7.829079,127.7289,307182,0,1.000000,2542
2,-15,135,0,0,3.565431,2.98092,280.471,379478,0,1.000000,1523
2,-15,135,0,1,3.362065,5.942147,168.2894,209127,0,1.000000,1336
2,-15,135,0,2,3.260894,6.066754,164.8328,157213,0,1.000000,1331
2,-15,135,0,3,2.861943,5.68452,175.9164,109087,0,1.000000,786
2,-15,180,0,0,2.690526,1.9801,371.6746,96963,0,0.251983,438
2,-15,180,0,1,2.734763,5.406907,184.9486,75038,0,0.251983,391
2,-15,180,0,2,2.774221,5.520373,181.1472,69670,0,0.251983,360
2,-15,180,0,3,2.767258,5.232567,191.1108,65713,0,0.251983,355
2,-15,225,0,0,2.765687,1.955647,361.5738,67617,0,0.181320,303
2,-15,225,0,1,2.828356,5.441933,183.7582,60337,0,0.181320,276
2,-15,225,0,2,2.911915,5.311347,188.2761,59597,0,0.181320,269
2,-15,225,0,3,2.927479,5.228859,191.2463,59320,0,0.181320,265
2,-15,270,0,0,3.192901,1.998167,313.1948,111987,0,0.081177,273
2,-15,270,0,1,3.244032,5.381073,185.8365,92048,0,0.081177,258
2,-15,270,0,2,3.354897,5.35396,186.7776,85339,0,0.081177,262
2,-15,270,0,3,3.310114,5.234706,191.0327,71507,0,0.081177,259
2,-15,315,0,0,4.279978,2.386027,233.646,435140,0,1.000000,1201
2,-15,315,0,1,3.920486,5.615479,178.0792,278020,0,1.000000,1112
2,-15,315,0,2,3.858227,5.601719,178.5166,185103,0,1.000000,1047
2,-15,315,0,3,3.358516,5.55796,179.9221,103409,0,1.000000,729
2,0,0,0,0,5.976473,4.032526,167.3228,1451995,0,1.000000,4031
2,0,0,0,1,5.278857,7.161414,139.6372,814625,0,1.000000,3450
2,0,0,0,2,4.96128,7.043306,141.9788,513914,0,1.000000,3399
2,0,0,0,3,3.849079,6.483886,154.2285,254145,0,1.000000,2340
2,0,45,0,0,7.414126,7.435707,134.4862,2668175,0,1.000000,9152
2,0,45,0,1,6.828306,9.52118,105.029,1321400,0,1.000000,7826
2,0,45,0,2,6.068223,5.704729,164.7929,802026,0,1.000000,7707
2,0,45,0,3,4.425455,7.275386,137.4498,404977,0,1.000000,3649
2,0,90,0,0,6.40501,7.143314,139.991,2128013,0,1.000000,7242
