point_id,x,y,z,vol_min_x,vol_min_y,vol_min_z,vol_max_x,vol_max_y,vol_max_z
150,-20.67602,1.500003,-73.06552,-28.86514,-9.130241,-81.25932,-12.4869,-2.860859,-64.87173
151,-20.67602,7.769385,-73.06552,-28.86514,-2.860859,-81.25932,-12.4869,3.408524,-64.87173
152,-20.67602,14.03877,-73.06552,-28.86514,3.408524,-81.25932,-12.4869,9.677906,-64.87173
153,-20.67602,20.30815,-73.06552,-28.86514,9.677906,-81.25932,-12.4869,15.94729,-64.87173
154,-20.67602,26.57753,-73.06552,-28.86514,15.94729,-81.25932,-12.4869,22.21667,-64.87173
155,-20.67602,1.500002,-56.67794,-28.86514,-9.130241,-64.87173,-12.4869,-2.860859,-48.48415
156,-20.67602,7.769384,-56.67794,-28.86514,-2.860859,-64.87173,-12.4869,3.408524,-48.48415
157,-20.67602,14.03877,-56.67794,-28.86514,3.408524,-64.87173,-12.4869,9.677906,-48.48415
158,-20.67602,20.30815,-56.67794,-28.86514,9.677906,-64.87173,-12.4869,15.94729,-48.48415
159,-20.67602,26.57753,-56.67794,-28.86514,15.94729,-64.87173,-12.4869,22.21667,-48.48415
160,-20.67602,1.83352,-40.29035,-28.86514,-9.130241,-48.48415,-12.4869,-2.860859,-32.09656
161,-20.67602,8.102903,-40.29035,-28.86514,-2.860859,-48.48415,-12.4869,3.408524,-32.09656
162,-20.67602,14.37229,-40.29035,-28.86514,3.408524,-48.48415,-12.4869,9.677906,-32.09656
163,-20.67602,20.64167,-40.29035,-28.86514,9.677906,-48.48415,-12.4869,15.94729,-32.09656
164,-20.67602,26.91105,-40.29035,-28.86514,15.94729,-48.48415,-12.4869,22.21667,-32.09656
165,-20.67602,2.391775,-23.90277,-28.86514,-9.130241,-32.09656,-12.4869,-2.860859,-15.70898
166,-20.67602,8.661158,-23.90277,-28.86514,-2.860859,-32.09656,-12.4869,3.408524,-15.70898
167,-20.67602,14.93054,-23.90277,-28.86514,3.408524,-32.09656,-12.4869,9.677906,-15.70898
168,-20.67602,21.19992,-23.90277,-28.86514,9.677906,-32.09656,-12.4869,15.94729,-15.70898
169,-20.67602,27.46931,-23.90277,-28.86514,15.94729,-32.09656,-12.4869,22.21667,-15.70898
170,-20.67602,5.40882,-7.515184,-28.86514,-9.130241,-15.70898,-12.4869,-2.860859,0.6786079
171,-20.67602,11.6782,-7.515184,-28.86514,-2.860859,-15.70898,-12.4869,3.408524,0.6786079
172,-20.67602,17.94758,-7.515184,-28.86514,3.408524,-15.70898,-12.4869,9.677906,0.6786079
173,-20.67602,24.21697,-7.515184,-28.86514,9.677906,-15.70898,-12.4869,15.94729,0.6786079
174,-20.67602,30.48635,-7.515184,-28.86514,15.94729,-15.70898,-12.4869,22.21667,0.6786079
175,-20.67602,13.30748,8.8724,-28.86514,-9.130241,0.6786079,-12.4869,-2.860859,17.06619
176,-20.67602,19.57687,8.8724,-28.86514,-2.860859,0.6786079,-12.4869,3.408524,17.06619
177,-20.67602,25.84625,8.8724,-28.86514,3.408524,0.6786079,-12.4869,9.677906,17.06619
178,-20.67602,32.11563,8.8724,-28.86514,9.677906,0.6786079,-12.4869,15.94729,17.06619
179,-20.67602,38.38501,8.8724,-28.86514,15.94729,0.6786079,-12.4869,22.21667,17.06619
180,-20.67602,4.305637,25.25998,-28.86514,-9.130241,17.06619,-12.4869,-2.860859,33.45378
181,-20.67602,10.57502,25.25998,-28.86514,-2.860859,17.06619,-12.4869,3.408524,33.45378
182,-20.67602,16.8444,25.25998,-28.86514,3.408524,17.06619,-12.4869,9.677906,33.45378
183,-20.67602,23.11378,25.25998,-28.86514,9.677906,17.06619,-12.4869,15.94729,33.45378
184,-20.67602,29.38317,25.25998,-28.86514,15.94729,17.06619,-12.4869,22.21667,33.45378
185,-20.67602,1.499998,41.64757,-28.86514,-9.130241,33.45378,-12.4869,-2.860859,49.84136
186,-20.67602,7.76938,41.64757,-28.86514,-2.860859,33.45378,-12.4869,3.408524,49.84136
187,-20.67602,14.03876,41.64757,-28.86514,3.408524,33.45378,-12.4869,9.677906,49.84136
