point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps
0,-60,270,-30,2,1.813299,1.52352,551.481
0,-60,270,-30,3,1.821423,1.977413,505.7112
0,-60,270,0,0,1.794697,1.92571,519.289
0,-60,270,0,1,1.808589,1.935037,516.7861
0,-60,270,0,2,1.791693,1.83053,546.2898
0,-60,270,0,3,1.826145,1.753242,547.6016
0,-60,270,30,0,1.789099,2.035636,491.2469
0,-60,270,30,1,1.791966,1.67677,558.0463
0,-60,270,30,2,1.774319,2.001817,499.5462
0,-60,270,30,3,1.805418,1.699721,553.8884
0,0,0,-30,0,4.545758,9.481647,105.4669
0,0,0,-30,1,4.178809,6.708518,149.0642
0,0,0,-30,2,4.083776,6.865562,145.6545
0,0,0,-30,3,3.138772,3.445273,290.2528
0,0,0,0,0,4.497111,6.865348,145.659
0,0,0,0,1,3.974939,5.944364,168.2266
0,0,0,0,2,3.808222,5.585763,179.0266
0,0,0,0,3,3.117275,3.835332,260.7336
0,0,0,30,0,4.581653,11.07212,90.31693
0,0,0,30,1,3.957456,6.97109,143.4496
0,0,0,30,2,3.794034,7.042556,141.9939
0,0,0,30,3,3.202889,3.677839,271.8988
0,0,90,-30,0,4.608082,9.123807,109.6034
0,0,90,-30,1,3.879731,6.192615,161.4827
0,0,90,-30,2,3.808675,6.227882,160.5682
0,0,90,-30,3,3.116279,3.901969,256.2809
0,0,90,0,0,4.408698,8.277363,120.8114
0,0,90,0,1,3.76502,5.44277,183.73
0,0,90,0,2,3.69326,5.138263,194.6183
0,0,90,0,3,3.021754,3.141472,318.3221
0,0,90,30,0,4.678272,9.108838,109.7835
0,0,90,30,1,4.010406,6.577135,152.0419
0,0,90,30,2,3.903964,6.214347,160.9179
0,0,90,30,3,3.073061,3.686568,271.255
0,0,180,-30,0,2.322997,1.553203,430.4784
0,0,180,-30,1,2.234163,1.554653,447.5949
0,0,180,-30,2,2.223275,1.623303,449.7869
0,0,180,-30,3,2.260377,1.556213,442.404
0,0,180,0,0,2.222148,1.52346,450.015
0,0,180,0,1,2.433127,1.603377,410.9938
0,0,180,0,2,2.22836,1.532463,448.7604
0,0,180,0,3,2.236552,1.54412,447.1167
0,0,180,30,0,2.199313,1.603043,454.6874
0,0,180,30,1,2.223343,1.578367,449.7732
0,0,180,30,2,2.24413,1.494183,445.607
0,0,180,30,3,2.200269,1.53448,454.4899
0,0,270,-30,0,2.262767,1.71617,441.9367
0,0,270,-30,1,2.21952,1.50583,450.5478
0,0,270,-30,2,2.261879,1.488783,442.1102
0,0,270,-30,3,2.230818,1.545497,448.266
0,0,270,0,0,2.251913,1.550657,444.0669
0,0,270,0,1,2.250411,1.48334,444.3633
0,0,270,0,2,2.210987,1.502997,452.2868
